dirname,filename,filename_abb,state_id,state_name,district_id,district_name
~/iec/pc01/district_handbooks/,DH_08_2001_KAR.pdf,KAR,8,rajasthan,9,karauli
~/iec/pc01/district_handbooks//eb_table_extracts,DH_08_2001_KAR_EB.pdf,KAR_EB,8,rajasthan,9,karauli
~/iec/pc01/district_handbooks/,DH_08_2001_KOT.pdf,KOT,8,rajasthan,30,kota
~/iec/pc01/district_handbooks//eb_table_extracts,DH_08_2001_KOT_EB.pdf,KOT_EB,8,rajasthan,30,kota
~/iec/pc01/district_handbooks/,DH_08_2001_NAG.pdf,NAG,8,rajasthan,14,nagaur
~/iec/pc01/district_handbooks//eb_table_extracts,DH_08_2001_NAG_EB.pdf,NAG_EB,8,rajasthan,14,nagaur
~/iec/pc01/district_handbooks/,DH_08_2001_PAL.pdf,PAL,8,rajasthan,20,pali
~/iec/pc01/district_handbooks/,DH_08_2001_RAJ.pdf,RAJ,8,rajasthan,25,rajsamand
~/iec/pc01/district_handbooks/,DH_08_2001_SAW.pdf,SAW,8,rajasthan,10,sawai madhopur
~/iec/pc01/district_handbooks//eb_table_extracts,DH_08_2001_SAW_EB.pdf,SAW_EB,8,rajasthan,10,sawai madhopur
~/iec/pc01/district_handbooks/,DH_08_2001_SIK.pdf,SIK,8,rajasthan,13,sikar
~/iec/pc01/district_handbooks/,DH_08_2001_SIR.pdf,SIR,8,rajasthan,19,sirohi
~/iec/pc01/district_handbooks//eb_table_extracts,DH_08_2001_SIR_EB.pdf,SIR_EB,8,rajasthan,19,sirohi
~/iec/pc01/district_handbooks/,DH_08_2001_TON.pdf,TON,8,rajasthan,22,tonk
~/iec/pc01/district_handbooks//eb_table_extracts,DH_08_2001_TON_EB.pdf,TON_EB,8,rajasthan,22,tonk
~/iec/pc01/district_handbooks/,DH_08_2001_UDA.pdf,UDA,8,rajasthan,26,udaipur
~/iec/pc01/district_handbooks//eb_table_extracts,DH_08_2001_UDA_EB.pdf,UDA_EB,8,rajasthan,26,udaipur
~/iec/pc01/district_handbooks/,DH_09_2001_AGR.pdf,AGR,9,uttar pradesh,15,agra
~/iec/pc01/district_handbooks//eb_table_extracts,DH_09_2001_AGR_EB.pdf,AGR_EB,9,uttar pradesh,15,agra
~/iec/pc01/district_handbooks/,DH_09_2001_ALI.pdf,ALI,9,uttar pradesh,12,aligarh
~/iec/pc01/district_handbooks//eb_table_extracts,DH_09_2001_ALI_EB.pdf,ALI_EB,9,uttar pradesh,12,aligarh
~/iec/pc01/district_handbooks/,DH_09_2001_AUR.pdf,AUR,9,uttar pradesh,32,auraiya
~/iec/pc01/district_handbooks/,DH_09_2001_BAG.pdf,BAG,9,uttar pradesh,8,baghpat
~/iec/pc01/district_handbooks//eb_table_extracts,DH_09_2001_BAG_EB.pdf,BAG_EB,9,uttar pradesh,8,baghpat
~/iec/pc01/district_handbooks/,DH_09_2001_BAH.pdf,BAH,9,uttar pradesh,50,bahraich
~/iec/pc01/district_handbooks//eb_table_extracts,DH_09_2001_BAH_EB.pdf,BAH_EB,9,uttar pradesh,50,bahraich
~/iec/pc01/district_handbooks/,DH_09_2001_BAL.pdf,BAL,9,uttar pradesh,52,balrampur
~/iec/pc01/district_handbooks/,DH_09_2001_BAN.pdf,BAN,9,uttar pradesh,40,banda
~/iec/pc01/district_handbooks//eb_table_extracts,DH_09_2001_BAN_EB.pdf,BAN_EB,9,uttar pradesh,40,banda
~/iec/pc01/district_handbooks/,DH_09_2001_BAS_VOL-02.pdf,BAS_VOL-02,9,uttar pradesh,55,Basti
~/iec/pc01/district_handbooks//eb_table_extracts,DH_09_2001_BAS_VOL-02_EB.pdf,BAS_VOL-02_EB,9,uttar pradesh,55,Basti
~/iec/pc01/district_handbooks/,DH_09_2001_BIJ_VOL-02.pdf,BIJ_VOL-02,9,uttar pradesh,3,bijnor
~/iec/pc01/district_handbooks//eb_table_extracts,DH_09_2001_BIJ_VOL-02_EB.pdf,BIJ_VOL-02_EB,9,uttar pradesh,3,bijnor
~/iec/pc01/district_handbooks/,DH_09_2001_BLA_VOL-01.pdf,BLA_VOL-01,9,uttar pradesh,63,ballia
~/iec/pc01/district_handbooks//eb_table_extracts,DH_09_2001_BLA_VOL-01_EB.pdf,BLA_VOL-01_EB,9,uttar pradesh,63,ballia
~/iec/pc01/district_handbooks/,DH_09_2001_BLA_VOL-02.pdf,BLA_VOL-02,9,uttar pradesh,63,ballia
~/iec/pc01/district_handbooks//eb_table_extracts,DH_09_2001_BLA_VOL-02_EB.pdf,BLA_VOL-02_EB,9,uttar pradesh,63,ballia
~/iec/pc01/district_handbooks/,DH_09_2001_BUD_VOL-01.pdf,BUD_VOL-01,9,uttar pradesh,19,budaun
~/iec/pc01/district_handbooks/,DH_09_2001_BUD_VOL-02.pdf,BUD_VOL-02,9,uttar pradesh,19,budaun
~/iec/pc01/district_handbooks//eb_table_extracts,DH_09_2001_BUD_VOL-02_EB.pdf,BUD_VOL-02_EB,9,uttar pradesh,19,budaun
~/iec/pc01/district_handbooks/,DH_09_2001_BUL.pdf,BUL,9,uttar pradesh,11,bulandshahr
~/iec/pc01/district_handbooks//eb_table_extracts,DH_09_2001_BUL_EB.pdf,BUL_EB,9,uttar pradesh,11,bulandshahr
~/iec/pc01/district_handbooks/,DH_09_2001_CHT.pdf,CHT,9,uttar pradesh,41,chitrakoot
~/iec/pc01/district_handbooks//eb_table_extracts,DH_09_2001_CHT_EB.pdf,CHT_EB,9,uttar pradesh,41,chitrakoot
~/iec/pc01/district_handbooks/,DH_09_2001_DEO_VOL-01.pdf,DEO_VOL-01,9,uttar pradesh,60,deoria
~/iec/pc01/district_handbooks//eb_table_extracts,DH_09_2001_DEO_VOL-01_EB.pdf,DEO_VOL-01_EB,9,uttar pradesh,60,deoria
~/iec/pc01/district_handbooks/,DH_09_2001_DEO_VOL-02.pdf,DEO_VOL-02,9,uttar pradesh,60,deoria
~/iec/pc01/district_handbooks/,DH_09_2001_ETA_VOL-01.pdf,ETA_VOL-01,9,uttar pradesh,17,etah
