input_pdf_name,output_csv_name,error_flag,recreate_flag
DH_27_2001_BHA_EB.pdf,DH_27_2001_BHA_EB.csv,0,0
DH_23_2001_GUN_EB.pdf,DH_23_2001_GUN_EB.csv,0,0
DH_28_2001_MAH_EB.pdf,DH_28_2001_MAH_EB.csv,0,0
DH_27_2001_HIN_EB.pdf,DH_27_2001_HIN_EB.csv,0,0
DH_27_2001_YAV_EB.pdf,DH_27_2001_YAV_EB.csv,0,0
DH_18_2001_NCH_EB.pdf,DH_18_2001_NCH_EB.csv,0,0
DH_24_2001_GAN_EB.pdf,DH_24_2001_GAN_EB.csv,0,0
DH_16_2001_STRI_EB.pdf,DH_16_2001_STRI_EB.csv,0,0
DH_10_2001_AUR_EB.pdf,DH_10_2001_AUR_EB.csv,0,0
DH_09_2001_VAR_EB.pdf,DH_09_2001_VAR_EB.csv,0,0
DH_23_2001_BAL_EB.pdf,DH_23_2001_BAL_EB.csv,0,0
DH_10_2001_SHK_EB.pdf,DH_10_2001_SHK_EB.csv,0,0
DH_09_2001_BUL_EB.pdf,DH_09_2001_BUL_EB.csv,0,0
DH_24_2001_VAD_EB.pdf,DH_24_2001_VAD_EB.csv,0,0
DH_09_2001_LKW_EB.pdf,DH_09_2001_LKW_EB.csv,0,0
DH_09_2001_MRJ_EB.pdf,DH_09_2001_MRJ_EB.csv,0,0
DH_08_2001_TON_EB.pdf,DH_08_2001_TON_EB.csv,0,0
DH_08_2001_CHU_EB.pdf,DH_08_2001_CHU_EB.csv,0,0
DH_22_2001_RAJ_EB.pdf,DH_22_2001_RAJ_EB.csv,0,0
DH_28_2001_KHA_EB.pdf,DH_28_2001_KHA_EB.csv,0,0
DH_29_2001_KOP_EB.pdf,DH_29_2001_KOP_EB.csv,0,0
DH_08_2001_SAW_EB.pdf,DH_08_2001_SAW_EB.csv,0,0
DH_03_2001_MAN_EB.pdf,DH_03_2001_MAN_EB.csv,0,0
DH_20_2001_GOD_EB.pdf,DH_20_2001_GOD_EB.csv,0,0
DH_23_2001_IND_EB.pdf,DH_23_2001_IND_EB.csv,0,0
DH_27_2001_AMR_EB.pdf,DH_27_2001_AMR_EB.csv,0,0
DH_29_2001_BAN_EB.pdf,DH_29_2001_BAN_EB.csv,0,0
DH_09_2001_MNI_EB.pdf,DH_09_2001_MNI_EB.csv,0,0
DH_22_2001_KAN_EB.pdf,DH_22_2001_KAN_EB.csv,0,0
DH_10_2001_PAS_EB.pdf,DH_10_2001_PAS_EB.csv,0,0
DH_33_2001_THA_EB.pdf,DH_33_2001_THA_EB.csv,0,0
DH_16_2001_WTRI_EB.pdf,DH_16_2001_WTRI_EB.csv,0,0
DH_23_2001_DAT_EB.pdf,DH_23_2001_DAT_EB.csv,0,0
DH_13_2001_DIM_EB.pdf,DH_13_2001_DIM_EB.csv,0,0
DH_17_2001_JAI_EB.pdf,DH_17_2001_JAI_EB.csv,0,0
DH_18_2001_NAL_EB.pdf,DH_18_2001_NAL_EB.csv,0,0
DH_18_2001_BAR_EB.pdf,DH_18_2001_BAR_EB.csv,0,0
DH_10_2001_MAD_EB.pdf,DH_10_2001_MAD_EB.csv,0,0
DH_09_2001_MAT_EB.pdf,DH_09_2001_MAT_EB.csv,0,0
DH_23_2001_REW_EB.pdf,DH_23_2001_REW_EB.csv,0,0
DH_33_2001_TIV_EB.pdf,DH_33_2001_TIV_EB.csv,0,0
DH_22_2001_JAS_EB.pdf,DH_22_2001_JAS_EB.csv,0,0
DH_23_2001_SHV_EB.pdf,DH_23_2001_SHV_EB.csv,0,0
DH_15_2001_AIZ_EB.pdf,DH_15_2001_AIZ_EB.csv,0,0
DH_10_2001_SAH_EB.pdf,DH_10_2001_SAH_EB.csv,0,0
DH_05_2001_HAR_EB.pdf,DH_05_2001_HAR_EB.csv,0,0
DH_28_2001_HYD_EB.pdf,DH_28_2001_HYD_EB.csv,0,0
DH_10_2001_PUR_EB.pdf,DH_10_2001_PUR_EB.csv,0,0
DH_10_2001_BAN_EB.pdf,DH_10_2001_BAN_EB.csv,0,0
DH_19_2001_MAD_EB.pdf,DH_19_2001_MAD_EB.csv,0,0
DH_20_2001_PAK_EB.pdf,DH_20_2001_PAK_EB.csv,0,0
DH_23_2001_MND_EB.pdf,DH_23_2001_MND_EB.csv,0,0
DH_03_2001_BAT_EB.pdf,DH_03_2001_BAT_EB.csv,0,0
DH_24_2001_DOH_EB.pdf,DH_24_2001_DOH_EB.csv,0,0
DH_19_2001_MUR_EB.pdf,DH_19_2001_MUR_EB.csv,0,0
DH_33_2001_RAM_EB.pdf,DH_33_2001_RAM_EB.csv,0,0
DH_15_2001_SER_EB.pdf,DH_15_2001_SER_EB.csv,0,0
DH_28_2001_VIZ_EB.pdf,DH_28_2001_VIZ_EB.csv,0,0
DH_28_2001_KAR_EB.pdf,DH_28_2001_KAR_EB.csv,0,0
DH_33_2001_THI_EB.pdf,DH_33_2001_THI_EB.csv,0,0
DH_18_2001_MAR_EB.pdf,DH_18_2001_MAR_EB.csv,0,0
DH_18_2001_SON_EB.pdf,DH_18_2001_SON_EB.csv,0,0
DH_05_2001_TEH_VOL-02_EB.pdf,DH_05_2001_TEH_VOL-02_EB.csv,0,0
DH_12_2001_CHA_EB.pdf,DH_12_2001_CHA_EB.csv,0,0
